PCO_CODE,PCO_NAME
02G00,WEST LANCASHIRE CCG
R1A00,HEREFORDSHIRE&WORCESTERSHIRE H&C NHS T
01E00,GREATER PRESTON CCG
10X00,SOUTHAMPTON CCG
10L00,ISLE OF WIGHT CCG
08C00,HAMMERSMITH AND FULHAM CCG
00X00,CHORLEY AND SOUTH RIBBLE CCG
10J00,NORTH HAMPSHIRE CCG
03K00,NORTH LINCOLNSHIRE CCG
00Q00,BLACKBURN WITH DARWEN CCG
05G00,NORTH STAFFORDSHIRE CCG
RWX00,BERKSHIRE HEALTHCARE NHS FT
05Q00,SE STAFFS & SEISDON PENINSULAR CCG
05R00,SOUTH WARWICKSHIRE CCG
RRF00,WWL NHS FOUNDATION TRUST
01T00,SOUTH SEFTON CCG
10R00,PORTSMOUTH CCG
NMS00,"CHANGE, GROW, LIVE"
RY700,WIRRAL COMMUNITY NHS FOUNDATION TRUST
00N00,SOUTH TYNESIDE CCG
06P00,LUTON CCG
QRL00,HAMPSHIRE & THE ISLE OF WIGHT STP
R1F00,ISLE OF WIGHT NHS TRUST
07Y00,HOUNSLOW CCG
03Q00,VALE OF YORK CCG
10V00,SOUTH EASTERN HAMPSHIRE CCG
08E00,HARROW CCG
03H00,NORTH EAST LINCOLNSHIRE CCG
00V00,BURY CCG
04F00,MILTON KEYNES CCG
99E00,BASILDON AND BRENTWOOD CCG
31000,STOCKPORT METROPOLITAN BOROUGH COUNCIL
05H00,WARWICKSHIRE NORTH CCG
01F00,HALTON CCG
NVC00,RAMSAY HEALTHCARE UK OPERATIONS LIMITED
RXE00,RDASH NHS FOUNDATION TRUST
02A00,TRAFFORD CCG
05D00,EAST STAFFORDSHIRE CCG
NI300,WE ARE WITH YOU
RTV00,NORTH WEST BOROUGHS HEALTHCARE NHS FT
NTP00,PRACTICE PLUS GROUP
03L00,ROTHERHAM CCG
08W00,WALTHAM FOREST CCG
08F00,HAVERING CCG
99C00,NORTH TYNESIDE CCG
04Y00,CANNOCK CHASE CCG
07K00,WEST SUFFOLK CCG
02E00,WARRINGTON CCG
07T00,CITY AND HACKNEY CCG
02T00,CALDERDALE CCG
-,UNIDENTIFIED
02Q00,BASSETLAW CCG
01J00,KNOWSLEY CCG
99M00,NORTH EAST HAMPSHIRE AND FARNHAM CCG
05X00,TELFORD & WREKIN CCG
NLX00,SIRONA CARE AND HEALTH CIC
NR300,NOTTINGHAM CITYCARE PARTNERSHIP
21600,NORTH EAST LINCOLNSHIRE COUNCIL
RY500,LINCOLNSHIRE COMM HEALTH SERV NHS TRUST
RNU00,OXFORD HEALTH NHS FOUNDATION TRUST
02M00,FYLDE & WYRE CCG
10K00,FAREHAM AND GOSPORT CCG
R0B00,SOUTH TYNESIDE AND SUNDERLAND NHS FT
10700,NEWCASTLE CITY COUNCIL
01X00,ST HELENS CCG
QUY00,"BRISTOL, N SOMERSET & S GLOUCS STP"
00L00,NORTHUMBERLAND CCG
00P00,SUNDERLAND CCG
00T00,BOLTON CCG
00Y00,OLDHAM CCG
01A00,EAST LANCASHIRE CCG
01D00,"HEYWOOD, MIDDLETON & ROCHDALE CCG"
01G00,SALFORD CCG
01H00,NORTH CUMBRIA CCG
01W00,STOCKPORT CCG
01Y00,TAMESIDE AND GLOSSOP CCG
02H00,WIGAN BOROUGH CCG
02X00,DONCASTER CCG
02Y00,EAST RIDING OF YORKSHIRE CCG
03A00,GREATER HUDDERSFIELD CCG
03F00,HULL CCG
03N00,SHEFFIELD CCG
03R00,WAKEFIELD CCG
03W00,EAST LEICESTERSHIRE AND RUTLAND CCG
04C00,LEICESTER CITY CCG
04V00,WEST LEICESTERSHIRE CCG
05A00,COVENTRY AND RUGBY CCG
05C00,DUDLEY CCG
05L00,SANDWELL AND WEST BIRMINGHAM CCG
05N00,SHROPSHIRE CCG
05W00,STOKE ON TRENT CCG
05Y00,WALSALL CCG
06A00,WOLVERHAMPTON CCG
06F00,BEDFORDSHIRE CCG
06H00,CAMBRIDGESHIRE AND PETERBOROUGH CCG
06K00,EAST AND NORTH HERTFORDSHIRE CCG
06N00,HERTS VALLEYS CCG
06Q00,MID ESSEX CCG
06T00,NORTH EAST ESSEX CCG
07P00,BRENT CCG
07W00,EALING CCG
08G00,HILLINGDON CCG
08M00,NEWHAM CCG
08N00,REDBRIDGE CCG
09D00,BRIGHTON & HOVE CCG
10Q00,OXFORDSHIRE CCG
11A00,WEST HAMPSHIRE CCG
11J00,DORSET CCG
11M00,GLOUCESTERSHIRE CCG
11N00,KERNOW CCG
11X00,SOMERSET CCG
12F00,WIRRAL CCG
13T00,NEWCASTLE GATESHEAD CCG
14L00,MANCHESTER CCG
15A00,BERKSHIRE WEST CCG
15C00,"BRISTOL, NORTH SOMERSET & S GLOS CCG"
15D00,EAST BERKSHIRE CCG
15E00,BIRMINGHAM AND SOLIHULL CCG
15F00,LEEDS CCG
15M00,DERBY & DERBYSHIRE CCG
15N00,DEVON CCG
16C00,TEES VALLEY CCG
18C00,HEREFORDSHIRE AND WORCESTERSHIRE CCG
26A00,NORFOLK AND WAVENEY CCG
27D00,CHESHIRE CCG
36J00,BRADFORD DISTRICT AND CRAVEN CCG
36L00,SOUTH WEST LONDON CCG
42D00,NORTH YORKSHIRE CCG
52R00,NOTTINGHAM AND NOTTINGHAMSHIRE CCG
70F00,WEST SUSSEX CCG
71E00,LINCOLNSHIRE CCG
72Q00,SOUTH EAST LONDON CCG
78H00,NORTHAMPTONSHIRE CCG
84H00,COUNTY DURHAM CCG
91Q00,KENT AND MEDWAY CCG
92A00,SURREY HEARTLANDS CCG
92G00,BANES SWINDON AND WILTSHIRE CCG
93C00,NORTH CENTRAL LONDON CCG
97R00,EAST SUSSEX CCG
99A00,LIVERPOOL CCG
01V00,SOUTHPORT AND FORMBY CCG
08Y00,WEST LONDON (K&C & QPP) CCG
07G00,THURROCK CCG
31300,WIGAN COUNCIL
11000,SUNDERLAND CITY COUNCIL
RCD00,HARROGATE & DISTRICT FOUNDATION TRUST
99G00,SOUTHEND CCG
09A00,CENTRAL LONDON (WESTMINSTER) CCG
03J00,NORTH KIRKLEES CCG
21100,KIRKLEES COUNCIL
07L00,BARKING & DAGENHAM CCG
NLE00,LANCASTER HOUSE CONSULTING
RLQ00,WYE VALLEY NHS TRUST
NNC00,SOLENT MEDICAL SERVICES LTD
RFR00,THE ROTHERHAM NHS FOUNDATION TRUST
RXA00,CHESHIRE & WIRRAL P/S NHS FOUNDATION TR
RY200,BRIDGEWATER COMM HEALTHCARE NHS TRUST
RCU00,SHEFFIELD CHILDREN'S NHS FT
RDR00,SUSSEX COMMUNITY NHS FOUNDATION TRUST
RMC00,BOLTON NHS FT
NKI00,TURNING POINT
AXT00,ONE MEDICAL GROUP LIMITED
00R00,BLACKPOOL CCG
NVE00,INTEGRATED CARE 24 LTD
RJC00,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST
NLF00,PENNINE MSK PARTNERSHIP LTD
QWO00,W YORKSHIRE & HARROGATE H&C P/SHIP STP
ARG00,WESTMINSTER DRUG PROJECT
REM00,LIVERPOOL UNIVERSITY HOSPITALS NHS FT
RTD00,THE NEWCASTLE UPON TYNE HPL NHS FOUND TR
RY400,HERTFORDSHIRE COMMUNITY NHS TRUST
AFW00,PRIMARY EYECARE SERVICES LTD
DMH00,FRAMEWORK
NQT00,VIRGIN CARE LIMITED
NR500,LIVEWELL SOUTHWEST
NNF00,CITY HEALTH CARE PARTNERSHIP CIC
RA900,TORBAY AND SOUTH DEVON NHS FOUNDATION TR
05V00,STAFFORD AND SURROUNDS CCG
11400,STOCKTON ON TEES LOCAL AUTHORITY
GDV00,START
NL800,LOCALA COMMUNITY PARTNERSHIPS CIC
RY600,LEEDS COMMUNITY HEALTHCARE NHS TRUST
RV300,CTRL & N W LONDON NHS FOUNDATION TRUST
30500,BURY COUNCIL
RXX00,SURREY AND BORDERS PARTNERSHIP NHS FT
RYX00,CENTRAL LONDON COMMUNITY HC NHS TRUST
AXG00,WILTSHIRE HEALTH AND CARE LLP
RCB00,YORK TEACHING HOSPITAL NHS FT
NV300,CIRCLE
RYW00,BIRMINGHAM COMMUNITY HC FOUNDATION TRUST
99F00,CASTLE POINT AND ROCHFORD CCG
RTX00,UNIVERSITY HOSPITALS OF MORECAMBE BAY
NV600,PDS MEDICAL LTD
RHA00,NOTTINGHAMSHIRE HEALTHCARE NHS F TRUST
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST
RLY00,NORTH STAFFS COMBINED HEALTHCARE TRUST
RJ800,CORNWALL P'SHIP NHS FOUNDATION TRUST
NWE00,SENTINEL HEALTHCARE SOUTHWEST CIC
ACG00,NEW MEDICAL SYSTEMS LIMITED
RXK00,SANDWELL AND WEST BIRMINGHAM HPLS TRUST
GCV00,LIVES
NDA00,VIRGIN CARE SERVICES LTD
RCF00,AIREDALE NHS FOUNDATION TRUST
DLD00,WESTON HOSPICECARE
QUE00,CAMBRIDGESHIRE & PETERBOROUGH STP
21800,NORTH YORKSHIRE COUNTY COUNCIL
RQ300,BIRMINGHAM WOMANS & CHILDRENS NHS FT
08V00,TOWER HAMLETS CCG
NPR00,ABOUT HEALTH
DKL00,SOUTH DOWNS HEALTH AND CARE LTD
RYG00,COVENTRY & WARWICKSHIRE P/SHIP NHS TRUST
RVW00,NTH TEES&HARTLEPOOL NHS FOUNDATION TRUST
RTR00,SOUTH TEES HOSP NHS FOUNDATION TRUST
AJ600,HUMANKIND
NCN00,DMC COMMUNITY OUTPATIENT SERVICES
NDL00,SUFFOLK GP FEDERATION
QNC00,STAFFORDSHIRE & STOKE ON TRENT STP
11200,MIDDLESBROUGH COUNCIL
11600,DURHAM COUNTY COUNCIL
RTF00,NORTHUMBRIA H/CARE NHS FOUNDATION TRUST
11300,REDCAR AND CLEVELAND LOCAL AUTHORITY
RK900,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST
11100,HARTLEPOOL LOCAL AUTHORITY
NV100,INHEALTH LIMITED
01K00,MORECAMBE BAY CCG
02P00,BARNSLEY CCG
06L00,IPSWICH AND EAST SUFFOLK CCG
07H00,WEST ESSEX CCG
14Y00,BUCKINGHAMSHIRE CCG
AD900,GREENBROOK HEALTHCARE
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FT
NQ700,MEDWAY COMMUNITY HEALTHCARE CIC
ACH00,WHITSTABLE MEDICAL PRACTICE
RYY00,KENT COMMUNITY HEALTH NHS FT
AC200,THE HERNE BAY OPHTHALMOLOGY CLINIC
AAX00,SYDENHAM HOUSE MEDICAL CENTRE
RPG00,OXLEAS NHS FOUNDATION TRUST
AC600,NEW HAYESBANK CLINICS
DG300,FORWARD TRUST
NT400,BMI HEALTHCARE
NQV00,BROMLEY HEALTHCARE CIC LTD
DWA00,EDP DRUG AND ALCOHOL SERVICES
RBZ00,NORTHERN DEVON HEALTHCARE
RYF00,SOUTH WESTERN AMBULANCE SERVICE NHS FT
RH800,ROYAL DEVON & EXETER NHS FOUNDATION TRST
QJK00,DEVON STP
R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT
NQA00,PROVIDE
AWH00,PRACTICE BASED CLINICAL SERVICES LIMITED
10C00,SURREY HEATH CCG
DL000,ST JOSEPH'S HOSPICE
RJ700,ST GEORGE'S UNIV HOSPS FOUNDATION NHST
NLO00,VOCARE
RAP00,NORTH MIDDLESEX UNIVERSITY HPL NHS TRUST
NKB00,LCWUCC
DKH00,TOWER HAMLETS TOBACCO CESSATION SERVICE
RRU00,LONDON AMBULANCE SERVICE NHS TRUST
R1K00,LONDON NORTH WEST HEALTHCARE NHS TRUST
NHT00,CONCORDIA COMMUNITY OUTPATIENTS LTD
DXV00,OMNES HEALTHCARE LTD
RJ100,GUY'S & ST THOMAS' NHS FOUNDATION TRUST
AT000,NHS PRACTITIONER HEALTH PROGRAMME
RQX00,HOMERTON UNIV HPL NHS FOUNDATION TRUST
NLG00,COMMUNITAS CLINICS LTD
RVR00,EPSOM & ST HELIER UNIV HPLS NHS TRUST
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT
NTV00,CSH SURREY
QXU00,SURREY HEARTLANDS H&C PARTNERSHIP STP
RNN00,NORTH CUMBRIA INTEGRATED CARE NHS FT
DR300,COASTAL HEALTH GP PROVIDER ORGANISATION
RY300,NORFOLK COMMUNITY HLTH & CARE NHS TRUST
NAX00,EAST COAST COMMUNITY HEALTHCARE CIC
RDE00,EAST SUFFOLK AND NORTH ESSEX NHS FT
RGR00,WEST SUFFOLK NHS FOUNDATION TRUST
R0A00,MANCHESTER UNIVERSITY NHS FT
32200,WARRINGTON BOROUGH COUNCIL
DQT00,PSYCHIATRY-UK
RH500,SOMERSET NHS FOUNDATION TRUST
61500,WEST BERKSHIRE COUNCIL
AA800,SMART CJS
DEC00,THE SOCIETY OF ST JAMES
GAX00,COUNTESS MOUNTBATTEN HOSPICE
RYE00,SOUTH CENTRAL AMBULANCE SERVICE NHS FT
RN300,GREAT WESTERN HPL NHS FOUNDATION TRUST
RXM00,DERBYSHIRE HEALTHCARE NHS FT
RY800,DERBYSHIRE COMM HLTH SERVICES NHS TRUST
QJ200,JOINED UP CARE DERBYSHIRE STP
AC000,EAST LANCASHIRE MEDICAL SERVICES LTD
NW000,GTD HEALTHCARE IUCC
AKQ00,DELPHI MEDICAL LTD
QE100,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
NCR00,ISIGHT
R1D00,SHROPSHIRE COMMUNITY HEALTH NHS TRUST
RXH00,BRIGHTON & SUSSEX UNIV HOSP NHS TRUST
AE800,THE SUSSEX BEACON
NWX00,HERE
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST
ARF00,ST WILFRID'S HOSPICE
ARD00,ST MICHAELS HOSPICE
QU900,"BUCKS, OXFORDSHIRE & BERKSHIRE WEST STP"
RX600,NORTH EAST AMBULANCE SERVICE NHS FT
NL100,SPECTRUM COMMUNITY HEALTH
RX400,"CUMBRIA,NORTHUMBERLAND,TYNE&WEAR NHS FT"
10600,GATESHEAD COUNCIL
RYD00,SOUTH EAST COAST AMBULANCE SERVICE NHSFT
NYG00,SUSSEX COMMUNITY DERMATOLOGY SERVICE
NBF00,LINCOLNSHIRE & DISTRICTS MED SERVICES
RRE00,MIDLANDS P/SHIP NHS FOUNDATION TRUST
RNA00,DUDLEY GROUP NHS FOUNDATION TRUST
DLA00,CRANSTOUN
NO000,HEALTHHARMONIE
DAY00,LLR PROVIDER COMPANY LTD
RCE00,BRADFORD DISTRICT CARE NHS FT
NQH00,NOVUS HEALTH LTD
NEQ00,PHOENIX HEALTH SOLUTIONS LTD
21200,LEEDS CITY COUNCIL
QGH00,HEREFORDSHIRE & WORCESTERSHIRE STP
RXQ00,BUCKINGHAMSHIRE HOSPITALS NHS TRUST
NX100,OPEROSE HEALTH (GROUP) UK LIMITED
RTQ00,GLOUCESTERSHIRE HEALTH AND CARE NHS FT
RV900,HUMBER TEACHING NHS FOUNDATION TRUST
RK500,SHERWOOD FOREST HOSPITALS NHS TRUST
QF700,SOUTH YORKSHIRE & BASSETLAW STP
QOQ00,"HUMBER, COAST & VALE STP"
NMG00,CONNECT HEALTH LIMITED
RW500,LANCASHIRE & SOUTH CUMBRIA NHS FT
NQL00,NAVIGO HEALTH & SOCIAL CARE CIC
RWW00,WARRINGTON & HALTON TEACHING HOSP NHSFT
RQ400,BLACK COUNTRY HEALTHCARE NHS FT
RKL00,WEST LONDON NHS TRUST
QKK00,OUR HEALTHIER SOUTH EAST LONDON STP
NDJ00,FIRST COMMUNITY HEALTH & CARE
RGP00,JAMES PAGET UNIV HOSPITALS NHS FT
QUA00,THE BLACK COUNTRY & WEST BIRMINGHAM STP
RX800,YORKSHIRE AMBULANCE SERVICE NHS TRUST
QHG00,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP"
QOP00,GREATER MANCHESTER HSC PARTNERSHIP STP
AQM00,FAVESRHAM MEDICAL PRACTICE MIU
ACD00,CHARING PRACTICE LTD
RJ200,LEWISHAM AND GREENWICH NHS TRUST
DYX00,LIVI
AER00,CONS EYE SURGEONS PARTNERSHIP (CANT) LLP
QMM00,NORFOLK & WAVENEY H&C PARTNERSHIP STP
QSL00,SOMERSET STP
QNX00,SUSSEX & EAST SURREY STP
QJM00,LINCOLNSHIRE STP
DAN00,BUTTERWICK HOSPICE
ACV00,KINGSNORTH MEDICAL SERVICES LTD
QH800,MID AND SOUTH ESSEX STP
QVV00,DORSET STP
QYG00,CHESHIRE & MERSEYSIDE STP
QOC00,SHROPSHIRE & TELFORD & WREKIN STP
RC900,LUTON & DUNSTABLE HOSPITAL TRUST
QPM00,NORTHAMPTONSHIRE STP
ADN00,PRIMARY INTEGRATED COMMUNITY SERVICES
QJG00,SUFFOLK & NORTH EAST ESSEX STP
NNS00,SELLINDGE PRACTICE LIMITED
QWE00,SW LONDON HEALTH & CARE PARTNERSHIP STP
90900,BRISTOL CITY COUNCIL - PUBLIC HEALTH
RFS00,CHESTERFIELD ROYAL HOSPITAL NHS F/T
QKS00,KENT & MEDWAY STP
QRV00,NW LONDON HEALTH & CARE PARTNERSHIP STP
60900,SUFFOLK COUNTY COUNCIL
